# DraftSheets re-scored for San Diego City Slackers (12 tm, QB1/RB2/WR3/TE1/FLEX1 RB/WR, 0 PPR). Pts = ECR-blended 16-game projection; VBD vs baselines QB14, RB44, WR47, TE12.
Player,Position,Team,Bye,ECRRank,ECRTier,PosRank,Upside,Bust,MissedGames,Low,Avg,High,Pts,VBD,Tier,ECRvsADP
Matthew Golden,WR,GB,11,123,6,50,3 out of 5,4 out of 5,3.848,66.34,77.5,90.52,77.96,-1.65,6,7
Chris Rodriguez Jr.,RB,JAX,7,124,6,42,3 out of 5,4 out of 5,3.478,47.11,66.63,92.59,73.57,-3.04,8,16
Jake Ferguson,TE,DAL,14,125,6,14,2 out of 5,4 out of 5,2.096,69.11,76.2,84.9,78.55,-8.86,5,-7
Romeo Doubs,WR,NE,11,126,6,51,4 out of 5,3 out of 5,3.848,68.42,76.49,83.78,76.42,-3.19,7,21
Xavier Worthy,WR,KC,5,127,6,52,4 out of 5,4 out of 5,3.848,70.62,79.95,91.24,79.61,0.0,6,14
Mark Andrews,TE,BAL,13,128,6,15,4 out of 5,4 out of 5,2.175,76.69,87.36,101.25,85.84,-1.57,4,-6
Juwan Johnson,TE,NO,8,129,6,16,4 out of 5,2 out of 5,2.266,64.21,73.38,88.87,75.66,-11.75,5,2
Tyler Allgeier,RB,ARI,14,130,6,43,3 out of 5,4 out of 5,3.526,47.48,54.73,65.28,63.63,-12.97,8,6
Jalen Coker,WR,CAR,5,131,6,53,4 out of 5,3 out of 5,3.848,60.6,69.39,78.2,71.17,-8.44,7,23
Tyler Shough,QB,NO,8,132,6,20,4 out of 5,2 out of 5,2.764,208.58,222.15,236.02,221.31,-22.7,7,36
Woody Marks,RB,HOU,8,133,6,44,3 out of 5,4 out of 5,3.575,63.3,74.44,86.23,76.6,0.0,7,6
Khalil Shakir,WR,BUF,7,134,6,54,2 out of 5,4 out of 5,3.848,60.62,67.86,72.38,69.22,-10.4,7,25
Malik Willis,QB,MIA,6,135,6,21,4 out of 5,4 out of 5,2.902,172.02,209.2,251.87,210.58,-33.44,8,18
Deebo Samuel Sr.,WR,SF,8,136,7,55,4 out of 5,3 out of 5,3.848,71.19,76.01,80.13,75.82,-3.79,7,6
Jonah Coleman,RB,DEN,10,137,7,45,4 out of 5,4 out of 5,3.625,55.53,68.85,81.86,70.17,-6.43,8,7
Jordyn Tyson,WR,NO,8,138,7,56,3 out of 5,5 out of 5,3.848,71.54,76.99,82.02,76.57,-3.04,7,-21
Tyjae Spears,RB,TEN,9,139,7,46,4 out of 5,4 out of 5,3.676,55.02,66.92,80.34,68.01,-8.59,8,19
Rashid Shaheed,WR,SEA,11,140,7,57,3 out of 5,4 out of 5,3.848,65.98,76.64,86.42,76.16,-3.45,7,3
Sam Darnold,QB,SEA,11,141,7,22,2 out of 5,4 out of 5,3.05,185.86,202.51,222.43,204.07,-39.94,9,7
Mike Washington Jr.,RB,LV,13,142,7,47,4 out of 5,4 out of 5,3.729,71.23,91.8,113.22,86.28,9.67,7,-15
Keaton Mitchell,RB,LAC,7,143,7,48,4 out of 5,4 out of 5,3.783,40.58,49.61,58.49,53.9,-22.7,8,19
Dylan Sampson,RB,CLE,11,144,7,49,4 out of 5,2 out of 5,3.838,38.36,52.54,66.68,56.05,-20.55,8,62
