# Yahoo data for league 59154 (San Diego City Slackers), scraped 2026-09-04: season projections in league scoring (league players page) + ADP (draft analysis, standard-scoring ADP). Kickers omitted: no K slot.
Player,Position,Team,ProjectedPoints,YahooADP,YahooPlayerID,Bye,YahooPreseasonADP,YahooPctDrafted,YahooORank
Patriots,DEF,NE,148.15,129.3,100017,11,129.1,0.98,200
Brenton Strange,TE,JAX,81.86,129.4,40078,7,129.5,0.30,174
Tank Bigsby,RB,PHI,68.94,129.5,40095,10,129.2,0.07,138
Bills,DEF,BUF,138.13,129.6,100002,7,129.5,0.10,243
Tyler Allgeier,RB,ARI,86.97,130.0,34107,14,130.0,0.20,136
Tyler Shough,QB,NO,265.93,130.0,41825,8,129.9,0.23,143
Kenyon Sadiq,TE,NYJ,60.80,130.0,42638,13,130.0,0.10,195
Kaelon Black,RB,SF,48.14,130.1,42712,8,129.7,0.03,169
Jakobi Meyers,WR,JAX,100.62,130.3,32231,7,130.5,0.43,127
Zach Charbonnet,RB,SEA,89.58,130.6,40075,11,130.7,0.28,148
Chris Rodriguez Jr.,RB,JAX,104.88,130.7,40231,7,130.6,0.45,112
Woody Marks,RB,HOU,106.26,130.7,41902,8,130.8,0.14,130
Tyrone Tracy Jr.,RB,NYG,45.20,130.7,41048,8,130.6,0.12,232
Wan'Dale Robinson,WR,TEN,97.51,130.8,33998,9,130.7,0.49,109
Khalil Shakir,WR,BUF,92.83,130.9,34104,7,130.7,0.12,139
Greg Dulcich,TE,MIA,80.62,131.4,34036,6,131.2,0.02,193
Denzel Boston,WR,CLE,77.85,131.5,42661,11,131.4,0.04,144
Vikings,DEF,MIN,147.15,131.5,100016,6,131.1,0.98,189
Keaton Mitchell,RB,LAC,80.17,131.6,40641,7,131.6,0.10,124
Romeo Doubs,WR,NE,101.05,132.0,34088,11,132.0,0.29,121
Chiefs,DEF,KC,137.28,132.3,100012,5,132.2,0.06,239
Browns,DEF,CLE,129.02,132.3,100005,11,131.9,0.03,302
Tyjae Spears,RB,TEN,98.43,132.5,40119,9,132.5,0.05,140
Jayden Higgins,WR,HOU,,132.9,41819,8,132.8,0.09,365
Cowboys,DEF,DAL,122.40,133.2,100006,14,133.0,0.19,226
Jalen Coker,WR,CAR,95.89,133.3,41293,5,133.3,0.27,113
Packers,DEF,GB,133.95,136.4,100009,11,136.2,0.12,240
Steelers,DEF,PIT,140.22,136.7,100023,9,136.5,0.83,199
Lions,DEF,DET,143.22,136.7,100008,6,136.4,0.34,237
Jaguars,DEF,JAX,139.61,137.7,100030,7,137.5,0.89,198
Ravens,DEF,BAL,140.96,139.0,100033,13,138.6,0.58,181
Chargers,DEF,LAC,140.26,139.4,100024,7,139.3,0.48,233
Adonai Mitchell,WR,NYJ,64.84,,40915,13,,,145
Dontayvion Wicks,WR,PHI,64.07,,40201,10,,,152
Jalen McMillan,WR,TB,71.69,,40954,10,,,160
Pat Bryant,WR,DEN,60.20,,41860,10,,,171
Ryan Flournoy,WR,DAL,70.43,,41087,14,,,172
Dylan Sampson,RB,CLE,75.08,,41907,11,,,173
Malik Davis,RB,DAL,55.59,,34610,14,,,176
Caleb Douglas,WR,MIA,67.85,,42697,6,,,179
Cyrus Allen,WR,KC,46.96,,42773,5,,,180
Tre' Harris,WR,LAC,63.93,,41840,7,,,184
Jaylin Noel,WR,HOU,58.59,,41885,8,,,190
Omar Cooper Jr.,WR,NYJ,51.07,,42652,13,,,192
Jerry Jeudy,WR,CLE,66.91,,32685,11,,,196
